freq,word,exfreq,LL,sig
7,development,0,35,0.0001
7,css3,0,35,0.0001
14,android,11,37,0.0001
12,microsoft,6,38,0.0001
10,raspberry,2,39,0.0001
10,pi,2,39,0.0001
8,reactive,0,40,0.0001
8,css,0,40,0.0001
8,cloud,0,40,0.0001
14,learning,6,46,0.0001
10,plus,0,50,0.0001
17,2nd,9,53,0.0001
11,openstack,0,55,0.0001
11,javascript,0,55,0.0001
12,coding,0,60,0.0001
17,python,3,69,0.0001
16,java,0,80,0.0001
35,edition,23,101,0.0001
25,murach,0,125,0.0001
33,pick-a-book,6,133,0.0001
31,pick-10-book,3,136,0.0001
65,list,48,180,0.0001
53,programming,2,249,0.0001
